trial,hyperparameters,cv_mean,cv_std,fold_scores
23,"{'learning_rate': 0.0012094558711958742, 'dropout1': 0.36383514160070796, 'dropout2': 0.680236676072892, 'units1': 512, 'units2': 128}",0.9014285683631897,0.02185293908036126,"[0.9071428775787354, 0.8642857074737549, 0.9142857193946838, 0.9285714030265808, 0.8928571343421936]"
24,"{'learning_rate': 0.007727107256761972, 'dropout1': 0.27344297691115416, 'dropout2': 0.6549531607697004, 'units1': 192, 'units2': 192}",0.8799999952316284,0.023647073108886765,"[0.8857142925262451, 0.8428571224212646, 0.8999999761581421, 0.9071428775787354, 0.8642857074737549]"
25,"{'learning_rate': 0.007319316249426142, 'dropout1': 0.17809531248981014, 'dropout2': 0.20351079892841256, 'units1': 320, 'units2': 256}",0.8771428465843201,0.0317515894819784,"[0.8928571343421936, 0.8142856955528259, 0.8857142925262451, 0.8928571343421936, 0.8999999761581421]"
26,"{'learning_rate': 0.00853543598330714, 'dropout1': 0.3901021139553791, 'dropout2': 0.548931415574116, 'units1': 448, 'units2': 256}",0.8557142853736878,0.03362458383453294,"[0.8571428656578064, 0.8357142806053162, 0.9071428775787354, 0.8714285492897034, 0.8071428537368774]"
27,"{'learning_rate': 0.009930970603122261, 'dropout1': 0.6234734080639593, 'dropout2': 0.6214436871975673, 'units1': 128, 'units2': 192}",0.6899999976158142,0.04252251312705096,"[0.6214285492897034, 0.6785714030265808, 0.7142857313156128, 0.6857143044471741, 0.75]"
28,"{'learning_rate': 0.009510713366967155, 'dropout1': 0.37547990277713017, 'dropout2': 0.5842180979385323, 'units1': 256, 'units2': 128}",0.854285717010498,0.02695422956747655,"[0.8785714507102966, 0.8214285969734192, 0.8428571224212646, 0.8928571343421936, 0.8357142806053162]"
29,"{'learning_rate': 0.001296651303006856, 'dropout1': 0.13388759230575856, 'dropout2': 0.5098500674216496, 'units1': 256, 'units2': 64}",0.9157142877578736,0.019897706195381847,"[0.9071428775787354, 0.8928571343421936, 0.9428571462631226, 0.9357143044471741, 0.8999999761581421]"
30,"{'learning_rate': 0.006077469385886659, 'dropout1': 0.38034144724180485, 'dropout2': 0.3105524271634683, 'units1': 448, 'units2': 128}",0.8899999976158142,0.03083861611200055,"[0.9428571462631226, 0.8500000238418579, 0.8714285492897034, 0.8928571343421936, 0.8928571343421936]"
31,"{'learning_rate': 0.0053105678998169115, 'dropout1': 0.39271479924816466, 'dropout2': 0.33519983415375065, 'units1': 128, 'units2': 256}",0.8828571200370788,0.03875616902209656,"[0.8999999761581421, 0.8142856955528259, 0.8714285492897034, 0.9285714030265808, 0.8999999761581421]"
32,"{'learning_rate': 0.004785084850603484, 'dropout1': 0.6487518734089557, 'dropout2': 0.6784963558482128, 'units1': 320, 'units2': 128}",0.8328571438789367,0.02657295887579707,"[0.8571428656578064, 0.7928571701049805, 0.8142856955528259, 0.8642857074737549, 0.8357142806053162]"
33,"{'learning_rate': 0.009898850235928632, 'dropout1': 0.5886435550733882, 'dropout2': 0.10175475183407204, 'units1': 320, 'units2': 128}",0.8171428561210632,0.05241124986313433,"[0.8285714387893677, 0.7285714149475098, 0.8142856955528259, 0.8928571343421936, 0.8214285969734192]"
