num_dense_layers,units_1,dropout_1,units_2,dropout_2,lr,units_3,dropout_3,units_4,dropout_4,units_5,dropout_5,units1,dropout1,units2,dropout2,cv_score,cv_std,cv_prec,cv_recall
5,128,0.5,128,0.6,0.00023221453361086742,512.0,0.1,64.0,0.4,512.0,0.1,,,,,0.8946428537368775,0.03633390911733584,0.8919033793863514,0.8731125541125542
2,192,0.30000000000000004,256,0.2,0.005074107037826867,64.0,0.2,128.0,0.2,192.0,0.5,,,,,0.8875,0.03224190803695837,0.8897776116466654,0.8715317460317461
2,64,0.6,256,0.6,0.0004224094404017299,192.0,0.6,192.0,0.5,384.0,0.4,,,,,0.8857142925262451,0.024872113487086463,0.8914300250907464,0.8690530303030304
3,256,0.4,64,0.30000000000000004,0.0030106026957708028,256.0,0.2,64.0,0.1,256.0,0.5,,,,,0.8857142806053162,0.032635116917079925,0.8894997932699507,0.8711085858585859
2,128,0.30000000000000004,512,0.1,0.0067627454521680085,512.0,0.4,512.0,0.2,384.0,0.30000000000000004,,,,,0.8803571343421936,0.027432661168141526,0.88653606403916,0.8649181096681096
3,512,0.6,256,0.6,0.0016848739291850745,64.0,0.1,448.0,0.2,192.0,0.1,,,,,0.8803571343421936,0.03019916778816298,0.8840491560159078,0.8609776334776337
3,192,0.4,320,0.1,0.006342321047637822,256.0,0.1,192.0,0.1,448.0,0.4,,,,,0.8732142806053161,0.060661747082906045,0.8850913145760029,0.8535165945165945
2,192,0.6,256,0.4,0.00014923015826065253,384.0,0.6,128.0,0.2,256.0,0.6,,,,,0.8732142806053161,0.006681550163824273,0.8785337963550038,0.8547893217893219
3,512,0.30000000000000004,256,0.5,0.0038047822882843274,64.0,0.6,64.0,0.1,64.0,0.2,,,,,0.8714285731315613,0.02624452044402268,0.8814929644135795,0.8527388167388168
5,256,0.30000000000000004,384,0.30000000000000004,0.005663272327474776,64.0,0.1,64.0,0.1,64.0,0.1,,,,,0.8696428537368774,0.038959676288591934,0.8788042444311793,0.8481378066378067
5,384,0.1,384,0.6,0.0023484415428291594,320.0,0.4,512.0,0.2,128.0,0.5,,,,,0.8660714268684387,0.015971933165008303,0.8771855775803143,0.8465847763347762
2,448,0.30000000000000004,64,0.5,0.008962452499275811,64.0,0.30000000000000004,128.0,0.30000000000000004,384.0,0.30000000000000004,,,,,0.8625,0.03642155584732345,0.8777906080884611,0.845446608946609
4,64,0.4,384,0.1,0.002998003302664412,192.0,0.6,192.0,0.5,128.0,0.4,,,,,0.8589285850524903,0.024222601684111063,0.8727731005141491,0.8395002334267041
2,320,0.4,320,0.2,0.00823459375519691,64.0,0.6,192.0,0.30000000000000004,448.0,0.30000000000000004,,,,,0.8571428656578064,0.028234619811662424,0.874484767614193,0.8378715728715729
5,64,0.30000000000000004,512,0.2,0.0026198486730611616,320.0,0.4,512.0,0.5,448.0,0.1,,,,,0.8446428656578064,0.038959675195802394,0.8688750454649969,0.8264722222222222
4,384,0.5,256,0.5,0.005820326357694492,128.0,0.6,384.0,0.30000000000000004,512.0,0.1,,,,,0.7232142806053161,0.03952846267411583,0.6918845243588032,0.6659870129870129
4,448,0.6,320,0.1,0.009133436118407579,384.0,0.6,320.0,0.1,448.0,0.6,,,,,0.6357142806053162,0.04240836445315,0.5468041154726373,0.5691940836940838
