num_blocks,num_layers_per_block,filters_b1_l1,kernel_size_b1_l1,pool_size_b1,dense_units,dropout,lr,filters_b1_l2,kernel_size_b1_l2,filters_b2_l1,kernel_size_b2_l1,filters_b2_l2,kernel_size_b2_l2,pool_size_b2,filters_b3_l1,kernel_size_b3_l1,filters_b3_l2,kernel_size_b3_l2,pool_size_b3,filters_b1_l3,kernel_size_b1_l3,filters_b2_l3,kernel_size_b2_l3,filters_b3_l3,kernel_size_b3_l3,filters1,kernel_size,pool_size,filters2,filters3,cv_score,cv_std,cv_prec,cv_recall
2,3,16,5,2,384,0.30000000000000004,0.0018977027841734885,112,3,80,5,16,5,3,128,3,128,5,3,128.0,5.0,16.0,5.0,64.0,3.0,,,,,,0.8767857074737548,0.04315373872067375,0.8813962567098924,0.8657932900432901
2,3,96,5,2,512,0.30000000000000004,0.0007714302615304885,96,5,80,3,112,3,3,48,5,96,3,2,48.0,3.0,32.0,3.0,96.0,5.0,,,,,,0.8767857074737548,0.04531635164700371,0.8857732555280677,0.8616810966810966
1,2,80,5,3,256,0.5,0.00013951958248994991,32,5,128,3,48,3,2,32,3,64,3,3,64.0,5.0,112.0,3.0,32.0,5.0,,,,,,0.8732142806053161,0.018210801010295513,0.8728784271284272,0.8572773533655885
3,1,128,5,3,448,0.5,0.00011846487783367317,96,3,64,5,32,5,3,96,3,16,5,2,16.0,5.0,128.0,3.0,80.0,5.0,,,,,,0.8714285731315613,0.03416273758897528,0.8761774480847372,0.8525079365079364
2,2,96,3,2,448,0.5,0.0003927113210830371,16,3,48,5,16,5,2,128,5,48,5,3,80.0,5.0,80.0,5.0,112.0,3.0,,,,,,0.8678571581840515,0.026122742803372855,0.8772464975423315,0.8476713564213563
3,2,48,3,2,448,0.2,0.00021997838024224393,16,3,16,3,16,3,2,16,3,16,3,2,,,,,,,,,,,,0.8660714149475097,0.039528481522758854,0.8632182405657638,0.8439743867243867
2,3,96,3,3,64,0.5,0.00018031593393962072,16,3,96,3,80,5,3,96,3,48,5,2,32.0,5.0,80.0,3.0,112.0,3.0,,,,,,0.8642857193946838,0.020671137767764892,0.8625577738731259,0.8471647992530345
1,1,16,3,3,64,0.6,0.002260546283544172,80,5,96,5,16,3,2,80,3,128,3,3,80.0,3.0,32.0,3.0,112.0,5.0,,,,,,0.8607142925262451,0.0377119989241165,0.8548517103811222,0.8410310245310244
3,3,16,3,2,128,0.30000000000000004,0.00027363407710605464,64,5,128,5,48,5,3,32,3,80,5,2,32.0,3.0,48.0,3.0,64.0,3.0,,,,,,0.8571428537368775,0.025253818430593582,0.8532680238316598,0.8386059969442321
3,3,32,3,2,64,0.6,0.003380957137869378,80,3,64,5,128,5,2,16,5,128,3,2,128.0,5.0,48.0,3.0,16.0,5.0,,,,,,0.8267856955528259,0.05747669928109355,0.7963779492781041,0.7893909897292251
